,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0009834285714285715,0.0,0.2857142857142857,0.24536,0.053931428571428575,0.17713142857142858,0.10376,0.17625142857142856,0.17625142857142856,0.17625142857142856,0.17625142857142856,0.17713142857142858,0.17625142857142856,0.17713142857142858,0.23763428571428571,0.17713142857142858,0.17625142857142856,0.22374857142857144,0.19915428571428573,0.11706285714285715,0.08726857142857143,0.11389714285714286,0.025554285714285713,0.021817142857142858,0.12984,0.03524571428571428,0.026571428571428572,0.026,0.02446857142857143,0.14714285714285713,0.027154285714285714,0.028685714285714287,0.01726857142857143,0.03056,0.033542857142857145,0.02410285714285714,0.02608,0.030502857142857144,0.02613714285714286,0.030571428571428572,0.03185142857142857,0.026262857142857143,0.032342857142857145,0.026148571428571427,0.017222857142857144,0.025874285714285714,0.02617142857142857,0.03334857142857143,0.03334857142857143,0.015074285714285714,0.015074285714285714,0.02568,0.026457142857142856,0.019577142857142855,0.023782857142857144,0.024525714285714286,0.028925714285714287,0.025874285714285714,0.02496,0.023485714285714287,0.015211428571428572,0.026514285714285716,0.07234285714285714,0.11436571428571428,0.05457142857142857,0.060834285714285716,0.018525714285714284
Max Violations Committee,0.2854205714285714,0.2857142857142857,0.0,0.24488,0.28450285714285717,0.27566857142857143,0.28361142857142857,0.2769257142857143,0.2769257142857143,0.2769257142857143,0.2769257142857143,0.27566857142857143,0.2769257142857143,0.27566857142857143,0.25332571428571427,0.27566857142857143,0.2769257142857143,0.2593942857142857,0.27180571428571426,0.2821714285714286,0.28321142857142856,0.28261714285714284,0.28553142857142855,0.28546285714285713,0.28170285714285714,0.28505142857142857,0.2856,0.2856228571428571,0.28561142857142857,0.24696,0.2855885714285714,0.28547428571428574,0.2855542857142857,0.28524571428571427,0.2767314285714286,0.28550857142857144,0.28547428571428574,0.28537142857142855,0.28547428571428574,0.28524571428571427,0.2851542857142857,0.28549714285714284,0.28464,0.2854514285714286,0.28540571428571426,0.28557714285714286,0.28557714285714286,0.2802742857142857,0.2802742857142857,0.2856228571428571,0.2856228571428571,0.28557714285714286,0.28512,0.2855542857142857,0.28538285714285716,0.28538285714285716,0.28546285714285713,0.28557714285714286,0.28474285714285713,0.2856,0.28563428571428573,0.2856,0.28389714285714285,0.28075428571428573,0.28438857142857144,0.2844,0.28550857142857144
Random Choice,0.24534114285714284,0.24536,0.24488,0.0,0.24522285714285713,0.24347428571428573,0.24537142857142857,0.24429714285714285,0.24429714285714285,0.24429714285714285,0.24429714285714285,0.24347428571428573,0.24429714285714285,0.24347428571428573,0.24458285714285713,0.24347428571428573,0.24429714285714285,0.2448,0.2451542857142857,0.24490285714285714,0.2451657142857143,0.24474285714285715,0.2448,0.24491428571428572,0.24398857142857142,0.2452,0.24513142857142858,0.24518857142857142,0.24521142857142858,0.24564571428571427,0.2450857142857143,0.24512,0.24499428571428572,0.2451542857142857,0.24537142857142857,0.24521142857142858,0.24517714285714284,0.24505142857142856,0.2451542857142857,0.2451542857142857,0.24506285714285714,0.2452,0.2450057142857143,0.24514285714285713,0.24528,0.24518857142857142,0.2452457142857143,0.24540571428571428,0.24540571428571428,0.24532571428571429,0.24532571428571429,0.24513142857142858,0.24482285714285715,0.24494857142857143,0.24494857142857143,0.24509714285714285,0.24509714285714285,0.24518857142857142,0.24445714285714285,0.24513142857142858,0.24507428571428572,0.2451542857142857,0.2452,0.24598857142857142,0.24433142857142856,0.2448,0.24501714285714285
Borda ranking,0.05363542857142858,0.053931428571428575,0.28450285714285717,0.24522285714285713,0.0,0.20093714285714287,0.13152,0.20106285714285715,0.20106285714285715,0.20106285714285715,0.20106285714285715,0.20093714285714287,0.20106285714285715,0.20093714285714287,0.2450057142857143,0.20093714285714287,0.20106285714285715,0.23018285714285713,0.18242285714285714,0.13452571428571428,0.06184,0.13490285714285713,0.05369142857142857,0.057165714285714285,0.15614857142857144,0.05373714285714286,0.05252571428571429,0.05211428571428572,0.051405714285714284,0.15602285714285713,0.05284571428571429,0.05452571428571429,0.03774857142857143,0.05358857142857143,0.06397714285714286,0.051257142857142855,0.05222857142857143,0.05398857142857143,0.05237714285714286,0.05358857142857143,0.05424,0.05233142857142857,0.05540571428571429,0.052411428571428574,0.053725714285714286,0.051782857142857144,0.05192,0.06302857142857143,0.06302857142857143,0.04738285714285714,0.04738285714285714,0.05238857142857143,0.058434285714285716,0.03435428571428571,0.05837714285714286,0.05824,0.054697142857142854,0.051782857142857144,0.06408,0.05092571428571428,0.041074285714285716,0.050114285714285715,0.06737142857142857,0.11410285714285714,0.04667428571428572,0.09868571428571428,0.05833142857142857
Plurality ranking,0.17723657142857144,0.17713142857142858,0.27566857142857143,0.24347428571428573,0.20093714285714287,0.0,0.13596571428571427,0.028434285714285714,0.028434285714285714,0.028434285714285714,0.028434285714285714,0.0,0.028434285714285714,0.0,0.24900571428571427,0.0,0.028434285714285714,0.20275428571428572,0.24006857142857144,0.16968,0.21717714285714285,0.12998857142857143,0.17342857142857143,0.17073142857142856,0.10186285714285714,0.18224,0.17602285714285715,0.17613714285714285,0.17654857142857142,0.2045142857142857,0.17592,0.17505142857142858,0.18137142857142857,0.17661714285714286,0.18153142857142857,0.1768,0.17626285714285714,0.17622857142857143,0.17625142857142856,0.17662857142857144,0.17645714285714287,0.17596571428571428,0.17722285714285715,0.17627428571428572,0.1764342857142857,0.17621714285714285,0.17614857142857143,0.1803657142857143,0.1803657142857143,0.17889142857142856,0.17889142857142856,0.17617142857142856,0.16580571428571428,0.18224,0.16918857142857144,0.1696457142857143,0.17478857142857143,0.17621714285714285,0.1525142857142857,0.1768,0.18032,0.17665142857142857,0.2031542857142857,0.19557714285714287,0.19009142857142858,0.1484342857142857,0.1692
STV,0.10390285714285714,0.10376,0.28361142857142857,0.24537142857142857,0.13152,0.13596571428571427,0.0,0.13425142857142858,0.13425142857142858,0.13425142857142858,0.13425142857142858,0.13596571428571427,0.13425142857142858,0.13596571428571427,0.23865142857142857,0.13596571428571427,0.13425142857142858,0.21325714285714287,0.21581714285714285,0.13078857142857142,0.15553142857142857,0.03678857142857143,0.10802285714285714,0.10125714285714285,0.08897142857142858,0.11786285714285714,0.11046857142857143,0.11027428571428571,0.11,0.18362285714285714,0.11076571428571429,0.10870857142857143,0.10981714285714286,0.11195428571428571,0.11796571428571428,0.10969142857142856,0.11028571428571429,0.11249142857142858,0.11035428571428571,0.11195428571428571,0.11266285714285715,0.11028571428571429,0.11341714285714286,0.11037714285714285,0.10801142857142858,0.11009142857142858,0.11017142857142857,0.11733714285714286,0.11733714285714286,0.10848,0.10848,0.11017142857142857,0.10684571428571428,0.11084571428571428,0.09866285714285715,0.09958857142857143,0.10836571428571429,0.11009142857142858,0.10453714285714286,0.10966857142857143,0.10875428571428572,0.11061714285714286,0.14161142857142858,0.15321142857142858,0.12670857142857142,0.07493714285714285,0.10078857142857142
Approval Voting (AV),0.17634342857142854,0.17625142857142856,0.2769257142857143,0.24429714285714285,0.20106285714285715,0.028434285714285714,0.13425142857142858,0.0,0.0,0.0,0.0,0.028434285714285714,0.0,0.028434285714285714,0.24045714285714287,0.028434285714285714,0.0,0.2028,0.24573714285714285,0.17096,0.21752,0.13118857142857143,0.17397714285714286,0.17090285714285713,0.10523428571428571,0.18273142857142857,0.17668571428571428,0.17673142857142857,0.1770057142857143,0.2105257142857143,0.17654857142857142,0.17548571428571427,0.18133714285714286,0.17737142857142857,0.1824,0.17730285714285715,0.17681142857142856,0.1771657142857143,0.17686857142857143,0.17737142857142857,0.17734857142857144,0.17661714285714286,0.17806857142857144,0.17685714285714285,0.17652571428571429,0.17676571428571428,0.17673142857142857,0.18138285714285715,0.18138285714285715,0.1788,0.1788,0.17669714285714286,0.16717714285714286,0.18221714285714286,0.16941714285714285,0.17014857142857143,0.1752,0.17676571428571428,0.15570285714285714,0.17724571428571428,0.18027428571428572,0.17724571428571428,0.20336,0.19937142857142856,0.19032,0.14819428571428572,0.16932571428571427
Proportional Approval Voting (PAV),0.17634342857142854,0.17625142857142856,0.2769257142857143,0.24429714285714285,0.20106285714285715,0.028434285714285714,0.13425142857142858,0.0,0.0,0.0,0.0,0.028434285714285714,0.0,0.028434285714285714,0.24045714285714287,0.028434285714285714,0.0,0.2028,0.24573714285714285,0.17096,0.21752,0.13118857142857143,0.17397714285714286,0.17090285714285713,0.10523428571428571,0.18273142857142857,0.17668571428571428,0.17673142857142857,0.1770057142857143,0.2105257142857143,0.17654857142857142,0.17548571428571427,0.18133714285714286,0.17737142857142857,0.1824,0.17730285714285715,0.17681142857142856,0.1771657142857143,0.17686857142857143,0.17737142857142857,0.17734857142857144,0.17661714285714286,0.17806857142857144,0.17685714285714285,0.17652571428571429,0.17676571428571428,0.17673142857142857,0.18138285714285715,0.18138285714285715,0.1788,0.1788,0.17669714285714286,0.16717714285714286,0.18221714285714286,0.16941714285714285,0.17014857142857143,0.1752,0.17676571428571428,0.15570285714285714,0.17724571428571428,0.18027428571428572,0.17724571428571428,0.20336,0.19937142857142856,0.19032,0.14819428571428572,0.16932571428571427
Approval Chamberlin-Courant (CC),0.17634342857142854,0.17625142857142856,0.2769257142857143,0.24429714285714285,0.20106285714285715,0.028434285714285714,0.13425142857142858,0.0,0.0,0.0,0.0,0.028434285714285714,0.0,0.028434285714285714,0.24045714285714287,0.028434285714285714,0.0,0.2028,0.24573714285714285,0.17096,0.21752,0.13118857142857143,0.17397714285714286,0.17090285714285713,0.10523428571428571,0.18273142857142857,0.17668571428571428,0.17673142857142857,0.1770057142857143,0.2105257142857143,0.17654857142857142,0.17548571428571427,0.18133714285714286,0.17737142857142857,0.1824,0.17730285714285715,0.17681142857142856,0.1771657142857143,0.17686857142857143,0.17737142857142857,0.17734857142857144,0.17661714285714286,0.17806857142857144,0.17685714285714285,0.17652571428571429,0.17676571428571428,0.17673142857142857,0.18138285714285715,0.18138285714285715,0.1788,0.1788,0.17669714285714286,0.16717714285714286,0.18221714285714286,0.16941714285714285,0.17014857142857143,0.1752,0.17676571428571428,0.15570285714285714,0.17724571428571428,0.18027428571428572,0.17724571428571428,0.20336,0.19937142857142856,0.19032,0.14819428571428572,0.16932571428571427
Lexicographic Chamberlin-Courant (lex-CC),0.17634342857142854,0.17625142857142856,0.2769257142857143,0.24429714285714285,0.20106285714285715,0.028434285714285714,0.13425142857142858,0.0,0.0,0.0,0.0,0.028434285714285714,0.0,0.028434285714285714,0.24045714285714287,0.028434285714285714,0.0,0.2028,0.24573714285714285,0.17096,0.21752,0.13118857142857143,0.17397714285714286,0.17090285714285713,0.10523428571428571,0.18273142857142857,0.17668571428571428,0.17673142857142857,0.1770057142857143,0.2105257142857143,0.17654857142857142,0.17548571428571427,0.18133714285714286,0.17737142857142857,0.1824,0.17730285714285715,0.17681142857142856,0.1771657142857143,0.17686857142857143,0.17737142857142857,0.17734857142857144,0.17661714285714286,0.17806857142857144,0.17685714285714285,0.17652571428571429,0.17676571428571428,0.17673142857142857,0.18138285714285715,0.18138285714285715,0.1788,0.1788,0.17669714285714286,0.16717714285714286,0.18221714285714286,0.16941714285714285,0.17014857142857143,0.1752,0.17676571428571428,0.15570285714285714,0.17724571428571428,0.18027428571428572,0.17724571428571428,0.20336,0.19937142857142856,0.19032,0.14819428571428572,0.16932571428571427
