,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.029950234854230706,0.0,0.32577541814698013,0.2781924873258553,0.026000292736151585,0.044442670285949996,0.01447713331470467,0.042593110055486806,0.042593110055486806,0.042593110055486806,0.042593110055486806,0.04476201881495084,0.042593110055486806,0.04476201881495084,0.26684230835761713,0.04476201881495084,0.042593110055486806,0.16382579537743006,0.16197623514696685,0.042912458584487646,0.0694716112463907,0.02433701914760555,0.019772996420635236,0.020345162535095072,0.02932683991324365,0.02397775205247961,0.019347198381967454,0.018908094154591302,0.01777706811438,0.06772850052559445,0.020172182081886286,0.020930634838263275,0.0136255372373691,0.025162002847524383,0.02839540670365787,0.01753755671762937,0.01921413649488377,0.02488257288464865,0.01930727981584235,0.025162002847524383,0.026559152661903052,0.01967985309967666,0.02739744255053025,0.01930727981584235,0.016646042074168695,0.018708501323965777,0.01973307785451013,0.027663566324697617,0.027663566324697617,0.01285377829228374,0.01285377829228374,0.018256090907881255,0.02128990193338922,0.01652628637579338,0.020624592497970808,0.021542719518848216,0.02098385959309675,0.018708501323965777,0.01969315928838503,0.01655289875321012,0.013319494897076631,0.018948012720716407,0.037949250196266285,0.07829361436003886,0.028275651005282558,0.015900895506500073,0.015475097467832289
Max Violations Committee,0.32401301345255673,0.32577541814698013,0.0,0.2766489694356845,0.3297406623820739,0.3267201575452743,0.329381395286948,0.32397908267135045,0.32397908267135045,0.32397908267135045,0.32397908267135045,0.32690644418719145,0.32397908267135045,0.32690644418719145,0.15665375966361955,0.32690644418719145,0.32397908267135045,0.3091293760728115,0.32204968530863703,0.3276515907548601,0.32718587415006717,0.3306587894029513,0.3316833659334957,0.33135071121578646,0.330791851290035,0.33089830079970195,0.3319228773302463,0.3320160206512049,0.3321224701608718,0.33332002714462494,0.33193618351895465,0.33147046691416177,0.33198940827378814,0.3331603528801245,0.3332801085784999,0.3329341476720823,0.33324019001237476,0.33296076004949904,0.3333333333333333,0.3331603528801245,0.3333333333333333,0.3327611672188735,0.33332002714462494,0.3333333333333333,0.33306720955916597,0.33273455484145675,0.33270794246404,0.33332002714462494,0.33332002714462494,0.3320692454060383,0.3320692454060383,0.33228214442537224,0.3312841802722446,0.331550304046412,0.3313374050270781,0.331949489707663,0.3313773235932032,0.33273455484145675,0.3310313626867856,0.3321890011044137,0.33216238872699694,0.3326014929543731,0.32805077641611113,0.3311245060077442,0.3289289848708634,0.33117773076257767,0.3318297340092877
Random Choice,0.27797360052160264,0.2781924873258553,0.2766489694356845,0.0,0.27823240589198034,0.2780062006839381,0.2782457120806887,0.27768685215493727,0.27768685215493727,0.27768685215493727,0.27768685215493727,0.27815256875973016,0.27768685215493727,0.27815256875973016,0.2775138717017285,0.27815256875973016,0.27768685215493727,0.27803281306135486,0.27774007690977076,0.27840538634518913,0.2790573895918992,0.27799289449522974,0.2780195068726465,0.27809934400489666,0.2781259563823134,0.27811265019360504,0.27805942543877155,0.2781259563823134,0.27816587494843853,0.27836546777906407,0.2780727316274799,0.27811265019360504,0.27799289449522974,0.27816587494843853,0.2779529759291046,0.27827232445810546,0.27804611925006323,0.27815256875973016,0.2780195068726465,0.27816587494843853,0.2780860378161883,0.277966282117813,0.2779130573629795,0.2779529759291046,0.27803281306135486,0.2780860378161883,0.2781924873258553,0.27811265019360504,0.27811265019360504,0.27815256875973016,0.27815256875973016,0.27809934400489666,0.27820579351456365,0.2780195068726465,0.27809934400489666,0.27809934400489666,0.2781392625710218,0.27805942543877155,0.2780727316274799,0.27811265019360504,0.27815256875973016,0.2781392625710218,0.2781924873258553,0.27879126581773184,0.2782590182693971,0.27821909970327197,0.27820579351456365
Borda ranking,0.025078173858661658,0.026000292736151585,0.3297406623820739,0.27823240589198034,0.0,0.0436442989634479,0.028821204742325655,0.04344470613282238,0.04344470613282238,0.04344470613282238,0.04344470613282238,0.043537849453780954,0.04344470613282238,0.043537849453780954,0.27570423003739036,0.043537849453780954,0.04344470613282238,0.1639721634532221,0.15388607241227895,0.03516825675621732,0.057708940428193155,0.028887735685867496,0.024789429563690072,0.026120048434526897,0.03152236105012441,0.02602690511356832,0.024789429563690072,0.023844690165395924,0.02243423416230889,0.0678748686013865,0.025614413263608905,0.025986986547443216,0.01431745905020425,0.02626641651031895,0.034170292603089694,0.02099716578180512,0.023152768352560776,0.02717123734248799,0.023844690165395924,0.026279722699027317,0.0275438106263223,0.023871302542812663,0.02979255651803654,0.02441685627985576,0.026293028887735687,0.022567296049392574,0.023259217862227722,0.03258685614679387,0.03258685614679387,0.018269397096589625,0.018269397096589625,0.024150732505688395,0.02580069990552606,0.009899804399025987,0.026306335076444053,0.026559152661903052,0.026133354623235266,0.022567296049392574,0.026239804132902212,0.02098385959309675,0.014889625164664085,0.020850797706013068,0.027597035381155776,0.06869985230130533,0.013665455803494205,0.025308370923316434,0.021915292802682527
Plurality ranking,0.03938232672015755,0.044442670285949996,0.3267201575452743,0.2780062006839381,0.0436442989634479,0.0,0.040956448844357514,0.012960227801950688,0.012960227801950688,0.012960227801950688,0.012960227801950688,0.001822947853046452,0.012960227801950688,0.001822947853046452,0.27700823653081047,0.001822947853046452,0.012960227801950688,0.16210929703405053,0.17299375939749578,0.05443561800593456,0.08848615491064894,0.039000439104227375,0.04022460846539726,0.04059718174923157,0.03290620467579471,0.04798211648237595,0.042992295716737856,0.042699559565153755,0.04239351722486128,0.0730775883863585,0.043298338057030324,0.04126249118464998,0.042007637752318604,0.04348462469894748,0.04908653014517052,0.04242012960227802,0.04252657911194497,0.04384389179407342,0.042619722432903545,0.04348462469894748,0.044043484624698946,0.04264633481032028,0.04518781685361862,0.04293907096190438,0.04347131851023911,0.042300373903902705,0.04244674197969476,0.04774260508562533,0.04774260508562533,0.04164837065719266,0.04164837065719266,0.0428459276409458,0.032280813806501406,0.04172820778944287,0.04027783322023073,0.04136894069431693,0.040823386957273826,0.04228706771519434,0.02566763801844238,0.04247335435711149,0.042007637752318604,0.042220536771652495,0.056231953481564276,0.07748193684882838,0.04553377776003619,0.03483560203850811,0.03751014596889013
STV,0.030605564648117835,0.01447713331470467,0.329381395286948,0.2782457120806887,0.028821204742325655,0.040956448844357514,0.0,0.039373012388061686,0.039373012388061686,0.039373012388061686,0.039373012388061686,0.041142735486274666,0.039373012388061686,0.041142735486274666,0.27164584248133805,0.041142735486274666,0.039373012388061686,0.16349314065972084,0.1645975543225154,0.04242012960227802,0.07217276755418946,0.016060569771000493,0.020770960573762858,0.017737149548254894,0.02601359892485995,0.02862161191170013,0.022700357936476255,0.02228786608651684,0.021556025707556586,0.06803454286588692,0.023205993107394247,0.019174217928758664,0.018176253775631045,0.026532540284486313,0.03061754021795537,0.021037084347930224,0.022860032200976675,0.02749058587148883,0.023232605484810986,0.026532540284486313,0.027836546777906403,0.02288664457839341,0.029113940893909757,0.023498729258978352,0.02098385959309675,0.02266043937035115,0.02319268691868588,0.02987239365028675,0.02987239365028675,0.017723843359546524,0.017723843359546524,0.021795537104307212,0.02144957619788964,0.020198794459303022,0.017417801019254053,0.019054462230383352,0.01858874562559046,0.02264713318164278,0.01989275211901055,0.020957247215680014,0.018043191888547364,0.022620520804226045,0.04049073223956462,0.07766822349074555,0.03069737735020558,0.016020651204875388,0.01645975543225154
Approval Voting (AV),0.03699918832248879,0.042593110055486806,0.32397908267135045,0.27768685215493727,0.04344470613282238,0.012960227801950688,0.039373012388061686,0.0,0.0,0.0,0.0,0.014636807579205088,0.0,0.014636807579205088,0.2728833180312163,0.014636807579205088,0.0,0.16277460646946895,0.17445744015541628,0.05458198608172661,0.0887522786848163,0.039931872313813156,0.04091653027823241,0.041382246883025296,0.03527470626588426,0.04811517836945964,0.043750748473114845,0.04331164424573869,0.042859233829654175,0.07712266975370245,0.04405679081340732,0.04210078107327718,0.04152861495881734,0.04545394062778598,0.05049698614825755,0.04304552047157133,0.04348462469894748,0.045360797306827405,0.043724136095698106,0.04545394062778598,0.04601280055353745,0.043511237076364215,0.047263582292124066,0.04405679081340732,0.043857197982781794,0.043138663792529904,0.04332495043444706,0.04944579724029646,0.04944579724029646,0.04107620454273282,0.04107620454273282,0.043537849453780954,0.03403723071600601,0.041222572618524876,0.04111612310885793,0.042486660545819864,0.0417149016007345,0.04312535760382154,0.02971271938578633,0.04256649767807007,0.041462084015275506,0.04304552047157133,0.05629848442510612,0.08324351655955185,0.04517451066491025,0.03458278445304911,0.03801578113980812
Proportional Approval Voting (PAV),0.03699918832248879,0.042593110055486806,0.32397908267135045,0.27768685215493727,0.04344470613282238,0.012960227801950688,0.039373012388061686,0.0,0.0,0.0,0.0,0.014636807579205088,0.0,0.014636807579205088,0.2728833180312163,0.014636807579205088,0.0,0.16277460646946895,0.17445744015541628,0.05458198608172661,0.0887522786848163,0.039931872313813156,0.04091653027823241,0.041382246883025296,0.03527470626588426,0.04811517836945964,0.043750748473114845,0.04331164424573869,0.042859233829654175,0.07712266975370245,0.04405679081340732,0.04210078107327718,0.04152861495881734,0.04545394062778598,0.05049698614825755,0.04304552047157133,0.04348462469894748,0.045360797306827405,0.043724136095698106,0.04545394062778598,0.04601280055353745,0.043511237076364215,0.047263582292124066,0.04405679081340732,0.043857197982781794,0.043138663792529904,0.04332495043444706,0.04944579724029646,0.04944579724029646,0.04107620454273282,0.04107620454273282,0.043537849453780954,0.03403723071600601,0.041222572618524876,0.04111612310885793,0.042486660545819864,0.0417149016007345,0.04312535760382154,0.02971271938578633,0.04256649767807007,0.041462084015275506,0.04304552047157133,0.05629848442510612,0.08324351655955185,0.04517451066491025,0.03458278445304911,0.03801578113980812
Approval Chamberlin-Courant (CC),0.03699918832248879,0.042593110055486806,0.32397908267135045,0.27768685215493727,0.04344470613282238,0.012960227801950688,0.039373012388061686,0.0,0.0,0.0,0.0,0.014636807579205088,0.0,0.014636807579205088,0.2728833180312163,0.014636807579205088,0.0,0.16277460646946895,0.17445744015541628,0.05458198608172661,0.0887522786848163,0.039931872313813156,0.04091653027823241,0.041382246883025296,0.03527470626588426,0.04811517836945964,0.043750748473114845,0.04331164424573869,0.042859233829654175,0.07712266975370245,0.04405679081340732,0.04210078107327718,0.04152861495881734,0.04545394062778598,0.05049698614825755,0.04304552047157133,0.04348462469894748,0.045360797306827405,0.043724136095698106,0.04545394062778598,0.04601280055353745,0.043511237076364215,0.047263582292124066,0.04405679081340732,0.043857197982781794,0.043138663792529904,0.04332495043444706,0.04944579724029646,0.04944579724029646,0.04107620454273282,0.04107620454273282,0.043537849453780954,0.03403723071600601,0.041222572618524876,0.04111612310885793,0.042486660545819864,0.0417149016007345,0.04312535760382154,0.02971271938578633,0.04256649767807007,0.041462084015275506,0.04304552047157133,0.05629848442510612,0.08324351655955185,0.04517451066491025,0.03458278445304911,0.03801578113980812
Lexicographic Chamberlin-Courant (lex-CC),0.03699918832248879,0.042593110055486806,0.32397908267135045,0.27768685215493727,0.04344470613282238,0.012960227801950688,0.039373012388061686,0.0,0.0,0.0,0.0,0.014636807579205088,0.0,0.014636807579205088,0.2728833180312163,0.014636807579205088,0.0,0.16277460646946895,0.17445744015541628,0.05458198608172661,0.0887522786848163,0.039931872313813156,0.04091653027823241,0.041382246883025296,0.03527470626588426,0.04811517836945964,0.043750748473114845,0.04331164424573869,0.042859233829654175,0.07712266975370245,0.04405679081340732,0.04210078107327718,0.04152861495881734,0.04545394062778598,0.05049698614825755,0.04304552047157133,0.04348462469894748,0.045360797306827405,0.043724136095698106,0.04545394062778598,0.04601280055353745,0.043511237076364215,0.047263582292124066,0.04405679081340732,0.043857197982781794,0.043138663792529904,0.04332495043444706,0.04944579724029646,0.04944579724029646,0.04107620454273282,0.04107620454273282,0.043537849453780954,0.03403723071600601,0.041222572618524876,0.04111612310885793,0.042486660545819864,0.0417149016007345,0.04312535760382154,0.02971271938578633,0.04256649767807007,0.041462084015275506,0.04304552047157133,0.05629848442510612,0.08324351655955185,0.04517451066491025,0.03458278445304911,0.03801578113980812
