,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.046736657219272684,0.0,0.39849906191369605,0.3221587960560457,0.05813739970460261,0.16689154125583808,0.07485529519779649,0.16700331324098838,0.16700331324098838,0.16700331324098838,0.16700331324098838,0.1670512155203385,0.16700331324098838,0.1670512155203385,0.31460620334517586,0.1670512155203385,0.16700331324098838,0.2671669793621013,0.21571993134006626,0.09705001796335476,0.15159474671669793,0.09142948385294,0.027575745479222386,0.023983074527962955,0.10150492994291645,0.034904794219791625,0.028310247095924314,0.027847191728873098,0.026410123348369327,0.09930142509281066,0.02894894415392599,0.029875054888028423,0.016989341742844596,0.031711308929783244,0.03335595385413756,0.026458025627719452,0.028070735699173687,0.03126422098918207,0.028086703125623728,0.031711308929783244,0.032477745399385256,0.02810267055207377,0.032637419663885676,0.028086703125623728,0.017196918286695142,0.027879126581773182,0.027974931140473433,0.03294080076643647,0.03294080076643647,0.014817771745638897,0.014817771745638897,0.02776735459662289,0.027911061434673267,0.018953335196199753,0.02462177158596463,0.025228533791066224,0.029906989740928504,0.027879126581773182,0.02091732864955491,0.025915133128418026,0.015648077921041077,0.028310247095924314,0.08135403776296356,0.1261746038082312,0.05443295676819289,0.029332162388726997,0.017244820566045267
Max Violations Committee,0.3944856492754781,0.39849906191369605,0.0,0.3194603009859886,0.39407608478703443,0.37627240429523773,0.3898766516306734,0.37186539459502616,0.37186539459502616,0.37186539459502616,0.37186539459502616,0.37646401341263824,0.37186539459502616,0.37646401341263824,0.18550956049658696,0.37646401341263824,0.37186539459502616,0.3445930302183546,0.3855494790627121,0.3907069578060756,0.3830425931100555,0.39129775258472715,0.3994730749271486,0.39936130294199834,0.3902119675861243,0.39819568081114526,0.39969661889744923,0.39969661889744923,0.3996806514709992,0.39998403257355,0.39972855375034927,0.39940920522134843,0.39948904235359867,0.39985629316194965,0.396950221548042,0.3999201628677498,0.39998403257355,0.3998083908825995,0.4,0.39985629316194965,0.4,0.3999201628677498,0.39998403257355,0.4,0.39985629316194965,0.39985629316194965,0.39985629316194965,0.39945710750069857,0.39945710750069857,0.39966468404454913,0.39966468404454913,0.3998403257354996,0.3990100195600974,0.3991537263981478,0.3991537263981478,0.3992814658097481,0.3993932377948984,0.39985629316194965,0.3981797133846952,0.3996487166180991,0.3996806514709992,0.39979242345614946,0.39190451478982874,0.3941239870663846,0.39463494471278593,0.39766875573829386,0.39932936808909825
Random Choice,0.321507325056884,0.3221587960560457,0.3194603009859886,0.0,0.32097720649874256,0.321536066424494,0.32180751267414476,0.32073769510199196,0.32073769510199196,0.32073769510199196,0.32073769510199196,0.3212965550277434,0.32073769510199196,0.3212965550277434,0.32024270488204065,0.3212965550277434,0.32073769510199196,0.3211688156161431,0.3204183465729911,0.32155203385094405,0.3214881641451439,0.32139235958644363,0.321520098998044,0.32161590355674424,0.32100914135164266,0.3216957406889944,0.32137639215999364,0.3214881641451439,0.321520098998044,0.32139235958644363,0.3214562292922438,0.3212167178954932,0.32174364296834457,0.3212965550277434,0.32180751267414476,0.32161590355674424,0.3215999361302942,0.32161590355674424,0.3215680012773941,0.3212965550277434,0.3214402618657938,0.3216318709831943,0.3213604247335436,0.3215680012773941,0.3219831543650952,0.32155203385094405,0.321520098998044,0.32174364296834457,0.32174364296834457,0.3217276755418945,0.3217276755418945,0.321520098998044,0.3213604247335436,0.3216318709831943,0.3216957406889944,0.3216318709831943,0.3212326853219432,0.32155203385094405,0.3219352520857451,0.32161590355674424,0.3216957406889944,0.3215680012773941,0.3210730110574428,0.32059398826394153,0.32084946708714224,0.3214881641451439,0.321536066424494
Borda ranking,0.049190850664644126,0.05813739970460261,0.39407608478703443,0.32097720649874256,0.0,0.20085425731507725,0.11525288411640254,0.20165262863757935,0.20165262863757935,0.20165262863757935,0.20165262863757935,0.2008702247415273,0.20165262863757935,0.2008702247415273,0.32147219671869387,0.2008702247415273,0.20165262863757935,0.2767634026585765,0.18115045307572553,0.08833180312163187,0.11103748353359147,0.11780767234840925,0.05733902838210052,0.05986188176120714,0.13221029100634704,0.05770627919045148,0.05689194044149934,0.056508722206698336,0.056077601692547205,0.1191649035966628,0.05708354955889985,0.05802562771945232,0.04185062472555986,0.05713145183824997,0.06679174484052533,0.05571035088419624,0.05644485250089817,0.0577541814698016,0.05647678735379825,0.05713145183824997,0.05761047463175123,0.056572591912498506,0.058440780807153404,0.05652468963314838,0.05759450720530119,0.056333080515747876,0.056380982795098,0.0645722725639695,0.0645722725639695,0.050393197876332285,0.050393197876332285,0.056396950221548045,0.058776096762604285,0.03947147818450361,0.06038880683405852,0.06016526286375793,0.05816933455750269,0.056333080515747876,0.06709512594307612,0.055790188016446446,0.044181868987265976,0.055343100075845274,0.07737814857690312,0.12492914454512793,0.053091692946389366,0.07587721049059917,0.06340665043311644
Plurality ranking,0.16779449922158796,0.16689154125583808,0.37627240429523773,0.321536066424494,0.20085425731507725,0.0,0.13098079916969382,0.023440182028661532,0.023440182028661532,0.023440182028661532,0.023440182028661532,0.0027144624965071253,0.023440182028661532,0.0027144624965071253,0.32471358428805236,0.0027144624965071253,0.023440182028661532,0.24886830865035328,0.2971697736617301,0.21578380104586642,0.27376152648596863,0.12646201748433197,0.16492754780248292,0.16195760648277513,0.11126102750389207,0.17410881801125705,0.16657219272683726,0.16676380184423775,0.1674983034609397,0.19469083070536106,0.1663965510358868,0.16588559338948544,0.17308690271845437,0.16772184743124027,0.17331044668875495,0.16770588000479023,0.16714702007903876,0.1670831503732386,0.1671310526525887,0.16772184743124027,0.1675781405931899,0.16709911779968864,0.16791345654864076,0.16717895493193885,0.16745040118158955,0.16703524809388848,0.16701928066743843,0.17125064867669954,0.17125064867669954,0.1709313001476987,0.1709313001476987,0.16690750868228812,0.1613348768512235,0.1739012414674065,0.16119117001317312,0.16190970420342501,0.16574188655143507,0.16703524809388848,0.14630952856173407,0.16770588000479023,0.17259191249850306,0.16732266176998922,0.21014729950900163,0.2062512474551914,0.1838489481457826,0.1488802842201908,0.15660851862201108
STV,0.08814099237555388,0.07485529519779649,0.3898766516306734,0.32180751267414476,0.11525288411640254,0.13098079916969382,0.0,0.1307412877729432,0.1307412877729432,0.1307412877729432,0.1307412877729432,0.13109257115484413,0.1307412877729432,0.13109257115484413,0.3152768352560776,0.13109257115484413,0.1307412877729432,0.2575705560656261,0.24296036086383777,0.14206219312602292,0.20031136481577583,0.03110454672468165,0.08627200510957646,0.08041195960241108,0.06889944513193086,0.09511795936289968,0.08801245459263103,0.08783681290168058,0.08745359466687956,0.14191848628797255,0.08829986826873179,0.08668715819727756,0.08403656540657059,0.08964113209053531,0.09400023951139674,0.08750149694622969,0.0881561614306814,0.09010418745758653,0.08820406371003153,0.08964113209053531,0.09029579657498703,0.08812422657778132,0.09059917767753782,0.08820406371003153,0.08325416151051854,0.08794858488683087,0.08801245459263103,0.09304219392439424,0.09304219392439424,0.0835415751866193,0.0835415751866193,0.08780487804878048,0.08517025268452358,0.08496267614067303,0.07934214203025827,0.08010857849986029,0.08654345135922718,0.08794858488683087,0.07836812901680572,0.08740569238752945,0.08368528202466967,0.08829986826873179,0.13329607600494991,0.15737495509161312,0.10720530118558141,0.06584966667997286,0.07536625284419783
Approval Voting (AV),0.16765717935411759,0.16700331324098838,0.37186539459502616,0.32073769510199196,0.20165262863757935,0.023440182028661532,0.1307412877729432,0.0,0.0,0.0,0.0,0.02596303540776815,0.0,0.02596303540776815,0.31380783202267376,0.02596303540776815,0.0,0.2489960480619536,0.3011775977006906,0.21670991177996887,0.2745758652349208,0.12839407608478703,0.16641251846233684,0.1632350005987785,0.11434274080875015,0.17530637499501017,0.16805716338669116,0.16824877250409165,0.16890343698854338,0.19940122150812342,0.1679294239750908,0.16732266176998922,0.173709632350006,0.16938245978204464,0.1748113847750589,0.1691110135323939,0.16860005588599258,0.16871182787114286,0.16858408845954254,0.16938245978204464,0.1693664923555946,0.16855215360664244,0.1697177757374955,0.16863199073889265,0.16840844676859207,0.16847231647439223,0.16848828390084228,0.1729910981597541,0.1729910981597541,0.17164983433795059,0.17164983433795059,0.1683445770627919,0.1630114566284779,0.17455590595185821,0.16245259670272644,0.16321903317232844,0.1671949223583889,0.16847231647439223,0.14894415392599097,0.1689832741207936,0.17315077242425453,0.16874376272404296,0.21084986627280347,0.21187178156560615,0.18469522174763484,0.14935930701369207,0.15785397788511438
Proportional Approval Voting (PAV),0.16765717935411759,0.16700331324098838,0.37186539459502616,0.32073769510199196,0.20165262863757935,0.023440182028661532,0.1307412877729432,0.0,0.0,0.0,0.0,0.02596303540776815,0.0,0.02596303540776815,0.31380783202267376,0.02596303540776815,0.0,0.2489960480619536,0.3011775977006906,0.21670991177996887,0.2745758652349208,0.12839407608478703,0.16641251846233684,0.1632350005987785,0.11434274080875015,0.17530637499501017,0.16805716338669116,0.16824877250409165,0.16890343698854338,0.19940122150812342,0.1679294239750908,0.16732266176998922,0.173709632350006,0.16938245978204464,0.1748113847750589,0.1691110135323939,0.16860005588599258,0.16871182787114286,0.16858408845954254,0.16938245978204464,0.1693664923555946,0.16855215360664244,0.1697177757374955,0.16863199073889265,0.16840844676859207,0.16847231647439223,0.16848828390084228,0.1729910981597541,0.1729910981597541,0.17164983433795059,0.17164983433795059,0.1683445770627919,0.1630114566284779,0.17455590595185821,0.16245259670272644,0.16321903317232844,0.1671949223583889,0.16847231647439223,0.14894415392599097,0.1689832741207936,0.17315077242425453,0.16874376272404296,0.21084986627280347,0.21187178156560615,0.18469522174763484,0.14935930701369207,0.15785397788511438
Approval Chamberlin-Courant (CC),0.16765717935411759,0.16700331324098838,0.37186539459502616,0.32073769510199196,0.20165262863757935,0.023440182028661532,0.1307412877729432,0.0,0.0,0.0,0.0,0.02596303540776815,0.0,0.02596303540776815,0.31380783202267376,0.02596303540776815,0.0,0.2489960480619536,0.3011775977006906,0.21670991177996887,0.2745758652349208,0.12839407608478703,0.16641251846233684,0.1632350005987785,0.11434274080875015,0.17530637499501017,0.16805716338669116,0.16824877250409165,0.16890343698854338,0.19940122150812342,0.1679294239750908,0.16732266176998922,0.173709632350006,0.16938245978204464,0.1748113847750589,0.1691110135323939,0.16860005588599258,0.16871182787114286,0.16858408845954254,0.16938245978204464,0.1693664923555946,0.16855215360664244,0.1697177757374955,0.16863199073889265,0.16840844676859207,0.16847231647439223,0.16848828390084228,0.1729910981597541,0.1729910981597541,0.17164983433795059,0.17164983433795059,0.1683445770627919,0.1630114566284779,0.17455590595185821,0.16245259670272644,0.16321903317232844,0.1671949223583889,0.16847231647439223,0.14894415392599097,0.1689832741207936,0.17315077242425453,0.16874376272404296,0.21084986627280347,0.21187178156560615,0.18469522174763484,0.14935930701369207,0.15785397788511438
Lexicographic Chamberlin-Courant (lex-CC),0.16765717935411759,0.16700331324098838,0.37186539459502616,0.32073769510199196,0.20165262863757935,0.023440182028661532,0.1307412877729432,0.0,0.0,0.0,0.0,0.02596303540776815,0.0,0.02596303540776815,0.31380783202267376,0.02596303540776815,0.0,0.2489960480619536,0.3011775977006906,0.21670991177996887,0.2745758652349208,0.12839407608478703,0.16641251846233684,0.1632350005987785,0.11434274080875015,0.17530637499501017,0.16805716338669116,0.16824877250409165,0.16890343698854338,0.19940122150812342,0.1679294239750908,0.16732266176998922,0.173709632350006,0.16938245978204464,0.1748113847750589,0.1691110135323939,0.16860005588599258,0.16871182787114286,0.16858408845954254,0.16938245978204464,0.1693664923555946,0.16855215360664244,0.1697177757374955,0.16863199073889265,0.16840844676859207,0.16847231647439223,0.16848828390084228,0.1729910981597541,0.1729910981597541,0.17164983433795059,0.17164983433795059,0.1683445770627919,0.1630114566284779,0.17455590595185821,0.16245259670272644,0.16321903317232844,0.1671949223583889,0.16847231647439223,0.14894415392599097,0.1689832741207936,0.17315077242425453,0.16874376272404296,0.21084986627280347,0.21187178156560615,0.18469522174763484,0.14935930701369207,0.15785397788511438
