Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.2759733333333333,0.05764,0.1782933333333333,0.0938266666666666,0.1773066666666666,0.1773066666666666,0.1773066666666666,0.1773066666666666,0.1782933333333333,0.1773066666666666,0.1782933333333333,0.27112,0.1782933333333333,0.1773066666666666,0.2467866666666666,0.2127066666666666,0.1045466666666666,0.1084533333333333,0.1078933333333333,0.0274533333333333,0.0242133333333333,0.1228533333333333,0.03732,0.02856,0.02788,0.0263866666666666,0.12632,0.0292533333333333,0.0309866666666666,0.01848,0.0329066666666666,0.0356666666666666,0.02608,0.0281866666666666,0.03272,0.0282133333333333,0.0329066666666666,0.0340933333333333,0.0284133333333333,0.0345333333333333,0.0282133333333333,0.01868,0.0278666666666666,0.02812,0.03532,0.03532,0.01532,0.01532,0.0276666666666666,0.0289866666666666,0.0207866666666666,0.0257733333333333,0.0267333333333333,0.0311066666666666,0.0278666666666666,0.02484,0.02528,0.01636,0.02868,0.0741733333333333,0.12432,0.0563866666666666,0.0483066666666666,0.0193066666666666
Max Violations Committee,0.3333333333333333,0.0,0.2783333333333333,0.3324533333333333,0.32252,0.3317733333333333,0.3236533333333333,0.3236533333333333,0.3236533333333333,0.3236533333333333,0.32252,0.3236533333333333,0.32252,0.2862133333333333,0.32252,0.3236533333333333,0.2994,0.3237866666666666,0.3304666666666667,0.3312666666666666,0.3310933333333333,0.3331466666666666,0.33308,0.33012,0.3330266666666667,0.3332666666666666,0.33328,0.3332533333333333,0.3028266666666667,0.3332133333333333,0.3330666666666667,0.3332266666666666,0.3329066666666667,0.3245733333333333,0.33324,0.3332266666666666,0.333,0.3331866666666667,0.3329066666666667,0.33276,0.3332266666666666,0.33228,0.33312,0.3330666666666667,0.33328,0.3332666666666666,0.3286933333333333,0.3286933333333333,0.3332933333333333,0.3332933333333333,0.3332666666666666,0.33276,0.3331333333333333,0.3328533333333333,0.3328666666666666,0.3330666666666667,0.33328,0.33208,0.3333333333333333,0.3332933333333333,0.3332133333333333,0.3316933333333333,0.3286,0.3323466666666667,0.33248,0.3331733333333333
Random Choice,0.2759733333333333,0.2783333333333333,0.0,0.2765466666666666,0.27808,0.2768266666666666,0.2779333333333333,0.2779333333333333,0.2779333333333333,0.2779333333333333,0.27808,0.2779333333333333,0.27808,0.27572,0.27808,0.2779333333333333,0.2779066666666667,0.2769066666666667,0.27616,0.2768933333333333,0.2777466666666666,0.276,0.27648,0.2773466666666667,0.2763733333333333,0.2758933333333333,0.27596,0.2761333333333333,0.27712,0.2759466666666667,0.2761066666666666,0.2759733333333333,0.2762533333333333,0.2766,0.27608,0.276,0.2759866666666666,0.2759866666666666,0.2762533333333333,0.27624,0.2759866666666666,0.2761733333333333,0.276,0.27624,0.27596,0.2759733333333333,0.2765866666666666,0.2765866666666666,0.27612,0.27612,0.2759333333333333,0.2760533333333333,0.2761066666666666,0.2764933333333333,0.27644,0.27612,0.2759466666666667,0.27628,0.2760933333333333,0.27592,0.27608,0.27548,0.2763733333333333,0.2755733333333333,0.2764666666666667,0.2763866666666666
Borda ranking,0.05764,0.3324533333333333,0.2765466666666666,0.0,0.20652,0.12792,0.2068933333333333,0.2068933333333333,0.2068933333333333,0.2068933333333333,0.20652,0.2068933333333333,0.20652,0.2791466666666666,0.20652,0.2068933333333333,0.25428,0.1876666666666666,0.1146133333333333,0.07124,0.1321466666666666,0.0570666666666666,0.0606933333333333,0.1516533333333333,0.0572133333333333,0.0559866666666666,0.05552,0.0546933333333333,0.1399733333333333,0.05648,0.0578133333333333,0.0404,0.0568533333333333,0.0672933333333333,0.0547733333333333,0.0557333333333333,0.0573733333333333,0.05588,0.0568533333333333,0.0576133333333333,0.05596,0.05844,0.05592,0.05744,0.0552666666666666,0.0553466666666666,0.06572,0.06572,0.0503466666666666,0.0503466666666666,0.05592,0.06044,0.0368533333333333,0.0616,0.0612133333333333,0.0579066666666666,0.0552666666666666,0.06784,0.0543466666666666,0.04372,0.0535466666666666,0.0720533333333333,0.1259466666666666,0.04824,0.0911066666666666,0.0624533333333333
Plurality ranking,0.1782933333333333,0.32252,0.27808,0.20652,0.0,0.1376666666666666,0.0275466666666666,0.0275466666666666,0.0275466666666666,0.0275466666666666,0.0,0.0275466666666666,0.0,0.2826133333333333,0.0,0.0275466666666666,0.2242933333333333,0.26956,0.19416,0.2421733333333333,0.13176,0.1747733333333333,0.17192,0.1073866666666666,0.18472,0.17736,0.1773866666666666,0.1777866666666666,0.20412,0.1774266666666666,0.1763066666666666,0.1838533333333333,0.1779066666666666,0.1834666666666666,0.1780933333333333,0.1774666666666666,0.17768,0.17752,0.1779066666666666,0.1778133333333333,0.17736,0.1781066666666666,0.1775466666666666,0.1777333333333333,0.1773733333333333,0.1773733333333333,0.1817466666666666,0.1817466666666666,0.1808266666666666,0.1808266666666666,0.1776,0.1693066666666666,0.1846133333333333,0.1705466666666666,0.1712666666666666,0.17612,0.17736,0.1536266666666666,0.17816,0.18244,0.17808,0.2092666666666666,0.204,0.1936533333333333,0.1537333333333333,0.1686933333333333
STV,0.0938266666666666,0.3317733333333333,0.2768266666666666,0.12792,0.1376666666666666,0.0,0.13628,0.13628,0.13628,0.13628,0.1376666666666666,0.13628,0.1376666666666666,0.2718666666666666,0.1376666666666666,0.13628,0.2364933333333333,0.2351466666666666,0.13816,0.1720666666666666,0.0351866666666666,0.1004133333333333,0.0941333333333333,0.0826666666666666,0.11092,0.1035066666666666,0.1031333333333333,0.10288,0.1684933333333333,0.1039866666666666,0.1016266666666666,0.1015333333333333,0.10472,0.1109733333333333,0.1025466666666666,0.1031866666666666,0.10572,0.1032133333333333,0.10472,0.1056,0.1033333333333333,0.10604,0.10328,0.0999466666666666,0.1031333333333333,0.1032533333333333,0.1099333333333333,0.1099333333333333,0.1003333333333333,0.1003333333333333,0.10292,0.0998133333333333,0.10252,0.0920266666666666,0.0930533333333333,0.1013733333333333,0.1031333333333333,0.0953866666666666,0.10248,0.1004533333333333,0.10376,0.1393466666666666,0.1573333333333333,0.1216,0.0728,0.09212
Approval Voting (AV),0.1773066666666666,0.3236533333333333,0.2779333333333333,0.2068933333333333,0.0275466666666666,0.13628,0.0,0.0,0.0,0.0,0.0275466666666666,0.0,0.0275466666666666,0.27296,0.0275466666666666,0.0,0.2249066666666666,0.27436,0.1953333333333333,0.24204,0.1328533333333333,0.1754266666666666,0.1724666666666666,0.11056,0.18544,0.1782266666666666,0.1782266666666666,0.17864,0.2097066666666666,0.1783333333333333,0.1772,0.1838933333333333,0.1792533333333333,0.1846133333333333,0.179,0.1784133333333333,0.1788266666666666,0.1784933333333333,0.1792533333333333,0.1792266666666666,0.17832,0.1795866666666666,0.1785333333333333,0.17772,0.17832,0.1783466666666666,0.1832133333333333,0.1832133333333333,0.1808933333333333,0.1808933333333333,0.1784,0.17044,0.18468,0.1711066666666666,0.1718933333333333,0.1769866666666666,0.1783066666666666,0.1570266666666666,0.1789333333333333,0.18252,0.1790133333333333,0.2096,0.2086133333333333,0.1937333333333333,0.1538133333333333,0.1693066666666666
Proportional Approval Voting (PAV),0.1773066666666666,0.3236533333333333,0.2779333333333333,0.2068933333333333,0.0275466666666666,0.13628,0.0,0.0,0.0,0.0,0.0275466666666666,0.0,0.0275466666666666,0.27296,0.0275466666666666,0.0,0.2249066666666666,0.27436,0.1953333333333333,0.24204,0.1328533333333333,0.1754266666666666,0.1724666666666666,0.11056,0.18544,0.1782266666666666,0.1782266666666666,0.17864,0.2097066666666666,0.1783333333333333,0.1772,0.1838933333333333,0.1792533333333333,0.1846133333333333,0.179,0.1784133333333333,0.1788266666666666,0.1784933333333333,0.1792533333333333,0.1792266666666666,0.17832,0.1795866666666666,0.1785333333333333,0.17772,0.17832,0.1783466666666666,0.1832133333333333,0.1832133333333333,0.1808933333333333,0.1808933333333333,0.1784,0.17044,0.18468,0.1711066666666666,0.1718933333333333,0.1769866666666666,0.1783066666666666,0.1570266666666666,0.1789333333333333,0.18252,0.1790133333333333,0.2096,0.2086133333333333,0.1937333333333333,0.1538133333333333,0.1693066666666666
Approval Chamberlin-Courant (CC),0.1773066666666666,0.3236533333333333,0.2779333333333333,0.2068933333333333,0.0275466666666666,0.13628,0.0,0.0,0.0,0.0,0.0275466666666666,0.0,0.0275466666666666,0.27296,0.0275466666666666,0.0,0.2249066666666666,0.27436,0.1953333333333333,0.24204,0.1328533333333333,0.1754266666666666,0.1724666666666666,0.11056,0.18544,0.1782266666666666,0.1782266666666666,0.17864,0.2097066666666666,0.1783333333333333,0.1772,0.1838933333333333,0.1792533333333333,0.1846133333333333,0.179,0.1784133333333333,0.1788266666666666,0.1784933333333333,0.1792533333333333,0.1792266666666666,0.17832,0.1795866666666666,0.1785333333333333,0.17772,0.17832,0.1783466666666666,0.1832133333333333,0.1832133333333333,0.1808933333333333,0.1808933333333333,0.1784,0.17044,0.18468,0.1711066666666666,0.1718933333333333,0.1769866666666666,0.1783066666666666,0.1570266666666666,0.1789333333333333,0.18252,0.1790133333333333,0.2096,0.2086133333333333,0.1937333333333333,0.1538133333333333,0.1693066666666666
Lexicographic Chamberlin-Courant (lex-CC),0.1773066666666666,0.3236533333333333,0.2779333333333333,0.2068933333333333,0.0275466666666666,0.13628,0.0,0.0,0.0,0.0,0.0275466666666666,0.0,0.0275466666666666,0.27296,0.0275466666666666,0.0,0.2249066666666666,0.27436,0.1953333333333333,0.24204,0.1328533333333333,0.1754266666666666,0.1724666666666666,0.11056,0.18544,0.1782266666666666,0.1782266666666666,0.17864,0.2097066666666666,0.1783333333333333,0.1772,0.1838933333333333,0.1792533333333333,0.1846133333333333,0.179,0.1784133333333333,0.1788266666666666,0.1784933333333333,0.1792533333333333,0.1792266666666666,0.17832,0.1795866666666666,0.1785333333333333,0.17772,0.17832,0.1783466666666666,0.1832133333333333,0.1832133333333333,0.1808933333333333,0.1808933333333333,0.1784,0.17044,0.18468,0.1711066666666666,0.1718933333333333,0.1769866666666666,0.1783066666666666,0.1570266666666666,0.1789333333333333,0.18252,0.1790133333333333,0.2096,0.2086133333333333,0.1937333333333333,0.1538133333333333,0.1693066666666666
