Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.2857142857142857,0.24488,0.0981485714285714,0.17688,0.0984457142857142,0.1691314285714285,0.1691314285714285,0.1691314285714285,0.1691314285714285,0.17688,0.1691314285714285,0.17688,0.1925257142857142,0.17688,0.1691314285714285,0.2335428571428571,0.1960457142857143,0.1478971428571428,0.1374057142857143,0.1178171428571428,0.0919657142857142,0.0982057142857142,0.1426171428571428,0.11696,0.0878057142857142,0.0854171428571428,0.0800571428571428,0.2457828571428571,0.0931771428571428,0.1001028571428571,0.0724342857142857,0.1283542857142857,0.1454628571428571,0.07736,0.0847657142857142,0.1225942857142857,0.0862171428571428,0.1284914285714285,0.1343314285714285,0.0896457142857142,0.1427542857142857,0.0862742857142857,0.0925257142857142,0.0814971428571428,0.0905714285714285,0.1428457142857143,0.1428457142857143,0.0651885714285714,0.0651885714285714,0.0782857142857142,0.1147428571428571,0.0864342857142857,0.1003885714285714,0.1066171428571428,0.1019314285714285,0.0814285714285714,0.1171771428571428,0.0715314285714285,0.0695542857142857,0.0830628571428571,0.13136,0.1643428571428571,0.10264,0.0970171428571428,0.0825028571428571
Max Violations Committee,0.2857142857142857,0.0,0.2452914285714285,0.2763885714285714,0.2643657142857142,0.2792342857142857,0.2731428571428571,0.2731428571428571,0.2731428571428571,0.2731428571428571,0.2643657142857142,0.2731428571428571,0.2643657142857142,0.2668114285714286,0.2643657142857142,0.2731428571428571,0.25144,0.2604342857142857,0.2698628571428571,0.2719771428571428,0.2743771428571429,0.2770628571428571,0.2763314285714285,0.2677142857142857,0.2748,0.27776,0.2780914285714285,0.2788,0.1481942857142857,0.27648,0.2763314285714285,0.2793828571428571,0.2558857142857142,0.1984571428571428,0.2772685714285714,0.2742057142857143,0.2598742857142857,0.2680228571428571,0.2555314285714286,0.2494285714285714,0.27408,0.2159771428571428,0.2584342857142857,0.2672114285714285,0.27664,0.2744114285714286,0.2198514285714285,0.2198514285714285,0.2799657142857142,0.2799657142857142,0.27872,0.2721485714285714,0.2773485714285714,0.2759657142857142,0.2714628571428571,0.276,0.27664,0.27152,0.2800457142857143,0.2799085714285714,0.2772914285714286,0.2727085714285714,0.23528,0.2769942857142857,0.2774514285714285,0.2784457142857143
Random Choice,0.24488,0.2452914285714285,0.0,0.2447428571428571,0.2455542857142857,0.2443771428571428,0.24584,0.24584,0.24584,0.24584,0.2455542857142857,0.24584,0.2455542857142857,0.2445485714285714,0.2455542857142857,0.24584,0.24336,0.2453257142857142,0.2444571428571428,0.2448342857142857,0.2444914285714285,0.2450514285714285,0.2448114285714285,0.2457828571428571,0.2451314285714285,0.2450514285714285,0.2451542857142857,0.2452571428571428,0.2454971428571428,0.2448457142857142,0.2448571428571428,0.24464,0.2455085714285714,0.2453028571428571,0.2457257142857143,0.2452571428571428,0.2444914285714285,0.2451542857142857,0.2455542857142857,0.2450057142857143,0.2451428571428571,0.2448228571428571,0.2445828571428571,0.2449942857142857,0.2450514285714285,0.2452114285714285,0.2450171428571428,0.2450171428571428,0.24544,0.24544,0.2448914285714285,0.2455771428571428,0.2450057142857143,0.2446514285714285,0.2451085714285714,0.2447885714285714,0.2450857142857143,0.2456,0.2457485714285714,0.24552,0.24512,0.24464,0.2457942857142857,0.2450171428571428,0.2456,0.2457828571428571
Borda ranking,0.0981485714285714,0.2763885714285714,0.2447428571428571,0.0,0.16144,0.1112,0.16216,0.16216,0.16216,0.16216,0.16144,0.16216,0.16144,0.2461942857142857,0.16144,0.16216,0.2324685714285714,0.1737257142857143,0.1220571428571428,0.1021371428571428,0.1131428571428571,0.0912685714285714,0.0982285714285714,0.12952,0.1039542857142857,0.0902057142857142,0.0857257142857142,0.0798171428571428,0.2297371428571428,0.0955771428571428,0.0985714285714285,0.0422742857142857,0.1096914285714285,0.1425714285714285,0.0644342857142857,0.0765371428571428,0.1105142857142857,0.0857371428571428,0.1098628571428571,0.11664,0.0857828571428571,0.1337142857142857,0.0905257142857142,0.09928,0.0755428571428571,0.08112,0.1369942857142857,0.1369942857142857,0.0602514285714285,0.0602514285714285,0.08592,0.1114628571428571,0.0117142857142857,0.1002057142857142,0.1009485714285714,0.1006857142857142,0.0754971428571428,0.11352,0.0654514285714285,0.0437485714285714,0.0613485714285714,0.0938057142857142,0.13312,0.0357828571428571,0.0996685714285714,0.0702171428571428
Plurality ranking,0.17688,0.2643657142857142,0.2455542857142857,0.16144,0.0,0.1506514285714285,0.0590857142857142,0.0590857142857142,0.0590857142857142,0.0590857142857142,0.0,0.0590857142857142,0.0,0.2521485714285714,0.0,0.0590857142857142,0.2230285714285714,0.2269371428571428,0.1590742857142857,0.18944,0.13928,0.14664,0.1471885714285714,0.1039085714285714,0.1919657142857143,0.1645028571428571,0.1633257142857143,0.1630742857142857,0.2249028571428571,0.1656571428571428,0.1502171428571428,0.16184,0.1667771428571428,0.1866742857142857,0.1621828571428571,0.1630171428571428,0.1685257142857142,0.1645828571428571,0.1668114285714285,0.1689142857142857,0.1629371428571428,0.1790971428571428,0.1667314285714285,0.16808,0.1623542857142857,0.1622857142857142,0.1818628571428571,0.1818628571428571,0.1624114285714285,0.1624114285714285,0.1647542857142857,0.0809828571428571,0.1615085714285714,0.1449828571428571,0.1491657142857143,0.1471771428571428,0.1623771428571428,0.0597028571428571,0.1629257142857142,0.16264,0.1616,0.1938742857142857,0.1952,0.1663314285714285,0.13304,0.1520342857142857
STV,0.0984457142857142,0.2792342857142857,0.2443771428571428,0.1112,0.1506514285714285,0.0,0.1452914285714285,0.1452914285714285,0.1452914285714285,0.1452914285714285,0.1506514285714285,0.1452914285714285,0.1506514285714285,0.2328571428571428,0.1506514285714285,0.1452914285714285,0.2295771428571428,0.2072457142857142,0.1368114285714285,0.1450857142857143,0.0619428571428571,0.0891657142857142,0.07016,0.11648,0.1414628571428571,0.1050171428571428,0.1029142857142857,0.0992914285714285,0.2419771428571428,0.1094857142857142,0.0787085714285714,0.0946514285714285,0.1334628571428571,0.1552685714285714,0.09968,0.1058057142857142,0.1352914285714285,0.1101371428571428,0.1336457142857142,0.13944,0.1065828571428571,0.1505142857142857,0.1134742857142857,0.1158171428571428,0.1038285714285714,0.1082171428571428,0.15168,0.15168,0.0914857142857142,0.0914857142857142,0.0997142857142857,0.1069371428571428,0.1035085714285714,0.0681942857142857,0.0807085714285714,0.0738171428571428,0.1038057142857142,0.1097142857142857,0.0956914285714285,0.0948685714285714,0.1027542857142857,0.1459542857142857,0.1696914285714285,0.11488,0.0819657142857142,0.0872457142857142
Approval Voting (AV),0.1691314285714285,0.2731428571428571,0.24584,0.16216,0.0590857142857142,0.1452914285714285,0.0,0.0,0.0,0.0,0.0590857142857142,0.0,0.0590857142857142,0.2338285714285714,0.0590857142857142,0.0,0.2233257142857143,0.2302171428571428,0.16296,0.19128,0.1438742857142857,0.1501257142857142,0.1505371428571428,0.1193942857142857,0.1928571428571428,0.1676685714285714,0.1661371428571428,0.1649714285714285,0.2459885714285714,0.1696228571428571,0.1540685714285714,0.1614857142857143,0.1803885714285714,0.19744,0.1649942857142857,0.16864,0.1802285714285714,0.17144,0.1804342857142857,0.1830742857142857,0.1685828571428571,0.1919085714285714,0.1735428571428571,0.1746742857142857,0.1661714285714285,0.1676685714285714,0.1941485714285714,0.1941485714285714,0.1611542857142857,0.1611542857142857,0.1670514285714285,0.1029485714285714,0.1618057142857142,0.1484457142857143,0.1566171428571428,0.1506971428571428,0.1661942857142857,0.0937371428571428,0.1635085714285714,0.1617371428571428,0.1652685714285714,0.1949714285714285,0.2049142857142857,0.1662171428571428,0.13272,0.1528685714285714
Proportional Approval Voting (PAV),0.1691314285714285,0.2731428571428571,0.24584,0.16216,0.0590857142857142,0.1452914285714285,0.0,0.0,0.0,0.0,0.0590857142857142,0.0,0.0590857142857142,0.2338285714285714,0.0590857142857142,0.0,0.2233257142857143,0.2302171428571428,0.16296,0.19128,0.1438742857142857,0.1501257142857142,0.1505371428571428,0.1193942857142857,0.1928571428571428,0.1676685714285714,0.1661371428571428,0.1649714285714285,0.2459885714285714,0.1696228571428571,0.1540685714285714,0.1614857142857143,0.1803885714285714,0.19744,0.1649942857142857,0.16864,0.1802285714285714,0.17144,0.1804342857142857,0.1830742857142857,0.1685828571428571,0.1919085714285714,0.1735428571428571,0.1746742857142857,0.1661714285714285,0.1676685714285714,0.1941485714285714,0.1941485714285714,0.1611542857142857,0.1611542857142857,0.1670514285714285,0.1029485714285714,0.1618057142857142,0.1484457142857143,0.1566171428571428,0.1506971428571428,0.1661942857142857,0.0937371428571428,0.1635085714285714,0.1617371428571428,0.1652685714285714,0.1949714285714285,0.2049142857142857,0.1662171428571428,0.13272,0.1528685714285714
Approval Chamberlin-Courant (CC),0.1691314285714285,0.2731428571428571,0.24584,0.16216,0.0590857142857142,0.1452914285714285,0.0,0.0,0.0,0.0,0.0590857142857142,0.0,0.0590857142857142,0.2338285714285714,0.0590857142857142,0.0,0.2233257142857143,0.2302171428571428,0.16296,0.19128,0.1438742857142857,0.1501257142857142,0.1505371428571428,0.1193942857142857,0.1928571428571428,0.1676685714285714,0.1661371428571428,0.1649714285714285,0.2459885714285714,0.1696228571428571,0.1540685714285714,0.1614857142857143,0.1803885714285714,0.19744,0.1649942857142857,0.16864,0.1802285714285714,0.17144,0.1804342857142857,0.1830742857142857,0.1685828571428571,0.1919085714285714,0.1735428571428571,0.1746742857142857,0.1661714285714285,0.1676685714285714,0.1941485714285714,0.1941485714285714,0.1611542857142857,0.1611542857142857,0.1670514285714285,0.1029485714285714,0.1618057142857142,0.1484457142857143,0.1566171428571428,0.1506971428571428,0.1661942857142857,0.0937371428571428,0.1635085714285714,0.1617371428571428,0.1652685714285714,0.1949714285714285,0.2049142857142857,0.1662171428571428,0.13272,0.1528685714285714
Lexicographic Chamberlin-Courant (lex-CC),0.1691314285714285,0.2731428571428571,0.24584,0.16216,0.0590857142857142,0.1452914285714285,0.0,0.0,0.0,0.0,0.0590857142857142,0.0,0.0590857142857142,0.2338285714285714,0.0590857142857142,0.0,0.2233257142857143,0.2302171428571428,0.16296,0.19128,0.1438742857142857,0.1501257142857142,0.1505371428571428,0.1193942857142857,0.1928571428571428,0.1676685714285714,0.1661371428571428,0.1649714285714285,0.2459885714285714,0.1696228571428571,0.1540685714285714,0.1614857142857143,0.1803885714285714,0.19744,0.1649942857142857,0.16864,0.1802285714285714,0.17144,0.1804342857142857,0.1830742857142857,0.1685828571428571,0.1919085714285714,0.1735428571428571,0.1746742857142857,0.1661714285714285,0.1676685714285714,0.1941485714285714,0.1941485714285714,0.1611542857142857,0.1611542857142857,0.1670514285714285,0.1029485714285714,0.1618057142857142,0.1484457142857143,0.1566171428571428,0.1506971428571428,0.1661942857142857,0.0937371428571428,0.1635085714285714,0.1617371428571428,0.1652685714285714,0.1949714285714285,0.2049142857142857,0.1662171428571428,0.13272,0.1528685714285714
