Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.27704,0.0535066666666666,0.1643733333333333,0.08408,0.1637333333333333,0.1637333333333333,0.1637333333333333,0.1637333333333333,0.1643733333333333,0.1637333333333333,0.1643733333333333,0.27204,0.1643733333333333,0.1637333333333333,0.2417333333333333,0.2126933333333333,0.0987333333333333,0.10672,0.0980533333333333,0.0249333333333333,0.0215066666666666,0.10808,0.0317066666666666,0.0255733333333333,0.025,0.0235866666666666,0.1148666666666666,0.0262933333333333,0.0272533333333333,0.01532,0.0287066666666666,0.03088,0.02332,0.0251333333333333,0.0286533333333333,0.0251466666666666,0.0287066666666666,0.0298666666666666,0.02516,0.0301466666666666,0.0251466666666666,0.0157733333333333,0.0248533333333333,0.025,0.0306133333333333,0.0306133333333333,0.0132,0.0132,0.0247466666666666,0.0256266666666666,0.01708,0.0229466666666666,0.0235866666666666,0.0273733333333333,0.0248533333333333,0.0212266666666666,0.0228,0.01348,0.0254266666666666,0.0722933333333333,0.1189733333333333,0.05276,0.0398666666666666,0.0166266666666666
Max Violations Committee,0.3333333333333333,0.0,0.2788266666666666,0.33256,0.3251866666666667,0.3320666666666667,0.32588,0.32588,0.32588,0.32588,0.3251866666666667,0.32588,0.3251866666666667,0.28516,0.3251866666666667,0.32588,0.3017066666666667,0.3247866666666666,0.33136,0.3313333333333333,0.3314133333333333,0.3331866666666667,0.33308,0.3311866666666667,0.3329733333333333,0.33324,0.33324,0.33324,0.3051733333333333,0.3332,0.3331333333333333,0.33324,0.3329866666666666,0.32608,0.3331333333333333,0.3331066666666666,0.3330266666666667,0.33308,0.3329866666666666,0.3329333333333333,0.33312,0.3326933333333333,0.3330266666666667,0.33308,0.3332133333333333,0.3332133333333333,0.32996,0.32996,0.33328,0.33328,0.3332533333333333,0.33292,0.3331866666666667,0.33296,0.3329733333333333,0.33312,0.3332133333333333,0.3324,0.3332,0.33328,0.3331733333333333,0.33204,0.3296133333333333,0.3324133333333333,0.3325866666666666,0.33316
Random Choice,0.27704,0.2788266666666666,0.0,0.2775733333333333,0.27852,0.2767066666666666,0.27852,0.27852,0.27852,0.27852,0.27852,0.27852,0.27852,0.2781466666666666,0.27852,0.27852,0.2776,0.2776133333333333,0.2791333333333333,0.2763466666666667,0.27684,0.2770533333333333,0.27696,0.2781066666666666,0.27716,0.27716,0.27704,0.2771333333333333,0.2779466666666667,0.2771733333333333,0.2771333333333333,0.2772,0.27704,0.2772133333333333,0.2771066666666666,0.2771466666666666,0.27736,0.27716,0.27704,0.2771333333333333,0.2771333333333333,0.2772,0.2770666666666667,0.2770533333333333,0.2770933333333333,0.2770933333333333,0.2771066666666666,0.2771066666666666,0.27716,0.27716,0.27704,0.2772,0.2771333333333333,0.2770933333333333,0.2770933333333333,0.27716,0.2770933333333333,0.2773733333333333,0.2771066666666666,0.2771733333333333,0.2772,0.2777066666666666,0.2788,0.2774133333333333,0.2774,0.27704
Borda ranking,0.0535066666666666,0.33256,0.2775733333333333,0.0,0.1939066666666666,0.1174,0.1942266666666666,0.1942266666666666,0.1942266666666666,0.1942266666666666,0.1939066666666666,0.1942266666666666,0.1939066666666666,0.27812,0.1939066666666666,0.1942266666666666,0.2493733333333333,0.1905333333333333,0.1055333333333333,0.0709733333333333,0.1219866666666666,0.0544533333333333,0.0576133333333333,0.1372266666666666,0.0547066666666666,0.0537866666666666,0.0533466666666666,0.0526,0.1312533333333333,0.0541066666666666,0.055,0.03896,0.0539066666666666,0.0627733333333333,0.0524533333333333,0.0531333333333333,0.05436,0.0531866666666666,0.0539066666666666,0.0543866666666666,0.05328,0.05524,0.05332,0.0534533333333333,0.0529733333333333,0.053,0.06164,0.06164,0.0474266666666666,0.0474266666666666,0.0535466666666666,0.05704,0.0364266666666666,0.0582266666666666,0.05792,0.0550266666666666,0.0529733333333333,0.0632933333333333,0.0523733333333333,0.04168,0.05164,0.07052,0.1214133333333333,0.0486266666666666,0.0821066666666666,0.0589466666666666
Plurality ranking,0.1643733333333333,0.3251866666666667,0.27852,0.1939066666666666,0.0,0.1286533333333333,0.02788,0.02788,0.02788,0.02788,0.0,0.02788,0.0,0.2822933333333333,0.0,0.02788,0.2244266666666666,0.26264,0.1841866666666666,0.2322,0.1236266666666666,0.1608933333333333,0.15792,0.10264,0.1699866666666666,0.1630533333333333,0.1631333333333333,0.1633733333333333,0.1945866666666666,0.163,0.16208,0.1693333333333333,0.1636666666666666,0.16912,0.1634933333333333,0.16324,0.1633466666666666,0.1632666666666666,0.1636666666666666,0.1637333333333333,0.1631466666666666,0.16396,0.16328,0.1638933333333333,0.1632133333333333,0.1632133333333333,0.1678,0.1678,0.16676,0.16676,0.1631066666666666,0.1567466666666666,0.1700933333333333,0.1571066666666666,0.15788,0.16188,0.1632133333333333,0.1432266666666666,0.1634933333333333,0.1681066666666666,0.1636,0.1970533333333333,0.1915733333333333,0.1810533333333333,0.14268,0.1552533333333333
STV,0.08408,0.3320666666666667,0.2767066666666666,0.1174,0.1286533333333333,0.0,0.1264266666666666,0.1264266666666666,0.1264266666666666,0.1264266666666666,0.1286533333333333,0.1264266666666666,0.1286533333333333,0.2724933333333333,0.1286533333333333,0.1264266666666666,0.2338266666666666,0.231,0.1291733333333333,0.1643066666666666,0.0319866666666666,0.0916133333333333,0.0864133333333333,0.0744133333333333,0.1002533333333333,0.0937466666666666,0.0933333333333333,0.0928266666666666,0.15684,0.09412,0.09264,0.0910533333333333,0.09464,0.09972,0.0927333333333333,0.09336,0.0955866666666666,0.0933733333333333,0.09464,0.0955866666666666,0.09328,0.0959333333333333,0.0934,0.0895333333333333,0.0934266666666666,0.0934266666666666,0.099,0.099,0.0907066666666666,0.0907066666666666,0.0930666666666666,0.0908666666666666,0.0920266666666666,0.08468,0.0855466666666666,0.0924133333333333,0.0934266666666666,0.0869866666666666,0.0926266666666666,0.0905066666666666,0.0939466666666666,0.1312933333333333,0.1488933333333333,0.1131333333333333,0.0673866666666666,0.0836666666666666
Approval Voting (AV),0.1637333333333333,0.32588,0.27852,0.1942266666666666,0.02788,0.1264266666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.2238666666666666,0.2687333333333333,0.1848133333333333,0.23244,0.12412,0.1617866666666666,0.1588666666666666,0.10504,0.1708266666666666,0.1638933333333333,0.1639866666666666,0.1641466666666666,0.1992533333333333,0.1638666666666666,0.1632533333333333,0.1695733333333333,0.1649466666666666,0.1705866666666666,0.1642533333333333,0.1641866666666666,0.1646666666666666,0.1642133333333333,0.1649466666666666,0.1651466666666666,0.1641333333333333,0.1655066666666666,0.1642533333333333,0.1645333333333333,0.1641333333333333,0.1641733333333333,0.1693866666666666,0.1693866666666666,0.1669733333333333,0.1669733333333333,0.16388,0.15788,0.1704266666666666,0.1580933333333333,0.1589733333333333,0.1630666666666666,0.1641333333333333,0.1464933333333333,0.16424,0.1682,0.1645066666666666,0.19736,0.1970933333333333,0.1814266666666666,0.14232,0.1557733333333333
Proportional Approval Voting (PAV),0.1637333333333333,0.32588,0.27852,0.1942266666666666,0.02788,0.1264266666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.2238666666666666,0.2687333333333333,0.1848133333333333,0.23244,0.12412,0.1617866666666666,0.1588666666666666,0.10504,0.1708266666666666,0.1638933333333333,0.1639866666666666,0.1641466666666666,0.1992533333333333,0.1638666666666666,0.1632533333333333,0.1695733333333333,0.1649466666666666,0.1705866666666666,0.1642533333333333,0.1641866666666666,0.1646666666666666,0.1642133333333333,0.1649466666666666,0.1651466666666666,0.1641333333333333,0.1655066666666666,0.1642533333333333,0.1645333333333333,0.1641333333333333,0.1641733333333333,0.1693866666666666,0.1693866666666666,0.1669733333333333,0.1669733333333333,0.16388,0.15788,0.1704266666666666,0.1580933333333333,0.1589733333333333,0.1630666666666666,0.1641333333333333,0.1464933333333333,0.16424,0.1682,0.1645066666666666,0.19736,0.1970933333333333,0.1814266666666666,0.14232,0.1557733333333333
Approval Chamberlin-Courant (CC),0.1637333333333333,0.32588,0.27852,0.1942266666666666,0.02788,0.1264266666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.2238666666666666,0.2687333333333333,0.1848133333333333,0.23244,0.12412,0.1617866666666666,0.1588666666666666,0.10504,0.1708266666666666,0.1638933333333333,0.1639866666666666,0.1641466666666666,0.1992533333333333,0.1638666666666666,0.1632533333333333,0.1695733333333333,0.1649466666666666,0.1705866666666666,0.1642533333333333,0.1641866666666666,0.1646666666666666,0.1642133333333333,0.1649466666666666,0.1651466666666666,0.1641333333333333,0.1655066666666666,0.1642533333333333,0.1645333333333333,0.1641333333333333,0.1641733333333333,0.1693866666666666,0.1693866666666666,0.1669733333333333,0.1669733333333333,0.16388,0.15788,0.1704266666666666,0.1580933333333333,0.1589733333333333,0.1630666666666666,0.1641333333333333,0.1464933333333333,0.16424,0.1682,0.1645066666666666,0.19736,0.1970933333333333,0.1814266666666666,0.14232,0.1557733333333333
Lexicographic Chamberlin-Courant (lex-CC),0.1637333333333333,0.32588,0.27852,0.1942266666666666,0.02788,0.1264266666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.2238666666666666,0.2687333333333333,0.1848133333333333,0.23244,0.12412,0.1617866666666666,0.1588666666666666,0.10504,0.1708266666666666,0.1638933333333333,0.1639866666666666,0.1641466666666666,0.1992533333333333,0.1638666666666666,0.1632533333333333,0.1695733333333333,0.1649466666666666,0.1705866666666666,0.1642533333333333,0.1641866666666666,0.1646666666666666,0.1642133333333333,0.1649466666666666,0.1651466666666666,0.1641333333333333,0.1655066666666666,0.1642533333333333,0.1645333333333333,0.1641333333333333,0.1641733333333333,0.1693866666666666,0.1693866666666666,0.1669733333333333,0.1669733333333333,0.16388,0.15788,0.1704266666666666,0.1580933333333333,0.1589733333333333,0.1630666666666666,0.1641333333333333,0.1464933333333333,0.16424,0.1682,0.1645066666666666,0.19736,0.1970933333333333,0.1814266666666666,0.14232,0.1557733333333333
