,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0005293333333333333,0.0,0.3333333333333333,0.27597333333333335,0.05764,0.17829333333333333,0.09382666666666667,0.17730666666666667,0.17730666666666667,0.17730666666666667,0.17730666666666667,0.17829333333333333,0.17730666666666667,0.17829333333333333,0.27112,0.17829333333333333,0.17730666666666667,0.24678666666666665,0.21270666666666666,0.10454666666666666,0.10845333333333333,0.10789333333333333,0.027453333333333333,0.024213333333333333,0.12285333333333333,0.03732,0.02856,0.02788,0.026386666666666666,0.12632,0.029253333333333333,0.030986666666666666,0.01848,0.03290666666666667,0.035666666666666666,0.02608,0.028186666666666665,0.03272,0.028213333333333333,0.03290666666666667,0.03409333333333334,0.028413333333333332,0.03453333333333333,0.028213333333333333,0.01868,0.027866666666666668,0.02812,0.03532,0.03532,0.01532,0.01532,0.027666666666666666,0.028986666666666668,0.020786666666666665,0.025773333333333332,0.026733333333333335,0.031106666666666668,0.027866666666666668,0.02484,0.02528,0.01636,0.02868,0.07417333333333333,0.12432,0.05638666666666667,0.048306666666666664,0.019306666666666666
Max Violations Committee,0.3332526666666666,0.3333333333333333,0.0,0.2783333333333333,0.3324533333333333,0.32252,0.3317733333333333,0.32365333333333335,0.32365333333333335,0.32365333333333335,0.32365333333333335,0.32252,0.32365333333333335,0.32252,0.2862133333333333,0.32252,0.32365333333333335,0.2994,0.32378666666666667,0.3304666666666667,0.33126666666666665,0.33109333333333335,0.33314666666666665,0.33308,0.33012,0.3330266666666667,0.33326666666666666,0.33328,0.33325333333333335,0.3028266666666667,0.3332133333333333,0.3330666666666667,0.33322666666666667,0.3329066666666667,0.3245733333333333,0.33324,0.33322666666666667,0.333,0.3331866666666667,0.3329066666666667,0.33276,0.33322666666666667,0.33228,0.33312,0.3330666666666667,0.33328,0.33326666666666666,0.32869333333333334,0.32869333333333334,0.33329333333333333,0.33329333333333333,0.33326666666666666,0.33276,0.33313333333333334,0.33285333333333333,0.33286666666666664,0.3330666666666667,0.33328,0.33208,0.3333333333333333,0.33329333333333333,0.3332133333333333,0.33169333333333334,0.3286,0.3323466666666667,0.33248,0.3331733333333333
Random Choice,0.27594533333333326,0.27597333333333335,0.2783333333333333,0.0,0.27654666666666666,0.27808,0.27682666666666667,0.2779333333333333,0.2779333333333333,0.2779333333333333,0.2779333333333333,0.27808,0.2779333333333333,0.27808,0.27572,0.27808,0.2779333333333333,0.2779066666666667,0.2769066666666667,0.27616,0.2768933333333333,0.27774666666666664,0.276,0.27648,0.2773466666666667,0.27637333333333336,0.2758933333333333,0.27596,0.27613333333333334,0.27712,0.2759466666666667,0.27610666666666667,0.27597333333333335,0.27625333333333335,0.2766,0.27608,0.276,0.27598666666666666,0.27598666666666666,0.27625333333333335,0.27624,0.27598666666666666,0.2761733333333333,0.276,0.27624,0.27596,0.27597333333333335,0.27658666666666665,0.27658666666666665,0.27612,0.27612,0.2759333333333333,0.2760533333333333,0.27610666666666667,0.2764933333333333,0.27644,0.27612,0.2759466666666667,0.27628,0.27609333333333336,0.27592,0.27608,0.27548,0.27637333333333336,0.27557333333333334,0.2764666666666667,0.27638666666666667
Borda ranking,0.05736066666666667,0.05764,0.3324533333333333,0.27654666666666666,0.0,0.20652,0.12792,0.20689333333333335,0.20689333333333335,0.20689333333333335,0.20689333333333335,0.20652,0.20689333333333335,0.20652,0.27914666666666665,0.20652,0.20689333333333335,0.25428,0.18766666666666668,0.11461333333333333,0.07124,0.13214666666666666,0.05706666666666667,0.060693333333333335,0.15165333333333333,0.05721333333333333,0.055986666666666664,0.05552,0.05469333333333333,0.13997333333333334,0.05648,0.057813333333333335,0.0404,0.05685333333333333,0.06729333333333333,0.054773333333333334,0.055733333333333336,0.05737333333333333,0.05588,0.05685333333333333,0.057613333333333336,0.05596,0.05844,0.05592,0.05744,0.055266666666666665,0.05534666666666667,0.06572,0.06572,0.050346666666666665,0.050346666666666665,0.05592,0.06044,0.036853333333333335,0.0616,0.061213333333333335,0.05790666666666667,0.055266666666666665,0.06784,0.05434666666666667,0.04372,0.053546666666666666,0.07205333333333333,0.12594666666666668,0.04824,0.09110666666666667,0.06245333333333333
Plurality ranking,0.17838400000000004,0.17829333333333333,0.32252,0.27808,0.20652,0.0,0.13766666666666666,0.027546666666666667,0.027546666666666667,0.027546666666666667,0.027546666666666667,0.0,0.027546666666666667,0.0,0.2826133333333333,0.0,0.027546666666666667,0.22429333333333334,0.26956,0.19416,0.24217333333333332,0.13176,0.17477333333333334,0.17192,0.10738666666666667,0.18472,0.17736,0.17738666666666666,0.17778666666666668,0.20412,0.17742666666666668,0.17630666666666667,0.18385333333333334,0.17790666666666666,0.18346666666666667,0.17809333333333333,0.17746666666666666,0.17768,0.17752,0.17790666666666666,0.17781333333333332,0.17736,0.17810666666666666,0.17754666666666666,0.17773333333333333,0.17737333333333333,0.17737333333333333,0.18174666666666667,0.18174666666666667,0.18082666666666666,0.18082666666666666,0.1776,0.16930666666666666,0.18461333333333332,0.17054666666666668,0.17126666666666668,0.17612,0.17736,0.15362666666666666,0.17816,0.18244,0.17808,0.20926666666666666,0.204,0.19365333333333334,0.15373333333333333,0.16869333333333333
STV,0.09391733333333332,0.09382666666666667,0.3317733333333333,0.27682666666666667,0.12792,0.13766666666666666,0.0,0.13628,0.13628,0.13628,0.13628,0.13766666666666666,0.13628,0.13766666666666666,0.27186666666666665,0.13766666666666666,0.13628,0.23649333333333333,0.23514666666666667,0.13816,0.17206666666666667,0.035186666666666665,0.10041333333333333,0.09413333333333333,0.08266666666666667,0.11092,0.10350666666666666,0.10313333333333333,0.10288,0.16849333333333333,0.10398666666666667,0.10162666666666667,0.10153333333333334,0.10472,0.11097333333333333,0.10254666666666666,0.10318666666666666,0.10572,0.10321333333333334,0.10472,0.1056,0.10333333333333333,0.10604,0.10328,0.09994666666666667,0.10313333333333333,0.10325333333333334,0.10993333333333333,0.10993333333333333,0.10033333333333333,0.10033333333333333,0.10292,0.09981333333333334,0.10252,0.09202666666666667,0.09305333333333334,0.10137333333333333,0.10313333333333333,0.09538666666666666,0.10248,0.10045333333333334,0.10376,0.13934666666666667,0.15733333333333333,0.1216,0.0728,0.09212
Approval Voting (AV),0.17740333333333336,0.17730666666666667,0.32365333333333335,0.2779333333333333,0.20689333333333335,0.027546666666666667,0.13628,0.0,0.0,0.0,0.0,0.027546666666666667,0.0,0.027546666666666667,0.27296,0.027546666666666667,0.0,0.22490666666666667,0.27436,0.19533333333333333,0.24204,0.13285333333333332,0.17542666666666668,0.17246666666666666,0.11056,0.18544,0.17822666666666667,0.17822666666666667,0.17864,0.20970666666666668,0.17833333333333334,0.1772,0.18389333333333333,0.17925333333333332,0.18461333333333332,0.179,0.17841333333333334,0.17882666666666666,0.17849333333333334,0.17925333333333332,0.17922666666666667,0.17832,0.17958666666666667,0.17853333333333332,0.17772,0.17832,0.17834666666666665,0.18321333333333334,0.18321333333333334,0.18089333333333332,0.18089333333333332,0.1784,0.17044,0.18468,0.17110666666666666,0.17189333333333334,0.17698666666666665,0.17830666666666667,0.15702666666666668,0.17893333333333333,0.18252,0.17901333333333333,0.2096,0.20861333333333335,0.19373333333333334,0.15381333333333333,0.16930666666666666
Proportional Approval Voting (PAV),0.17740333333333336,0.17730666666666667,0.32365333333333335,0.2779333333333333,0.20689333333333335,0.027546666666666667,0.13628,0.0,0.0,0.0,0.0,0.027546666666666667,0.0,0.027546666666666667,0.27296,0.027546666666666667,0.0,0.22490666666666667,0.27436,0.19533333333333333,0.24204,0.13285333333333332,0.17542666666666668,0.17246666666666666,0.11056,0.18544,0.17822666666666667,0.17822666666666667,0.17864,0.20970666666666668,0.17833333333333334,0.1772,0.18389333333333333,0.17925333333333332,0.18461333333333332,0.179,0.17841333333333334,0.17882666666666666,0.17849333333333334,0.17925333333333332,0.17922666666666667,0.17832,0.17958666666666667,0.17853333333333332,0.17772,0.17832,0.17834666666666665,0.18321333333333334,0.18321333333333334,0.18089333333333332,0.18089333333333332,0.1784,0.17044,0.18468,0.17110666666666666,0.17189333333333334,0.17698666666666665,0.17830666666666667,0.15702666666666668,0.17893333333333333,0.18252,0.17901333333333333,0.2096,0.20861333333333335,0.19373333333333334,0.15381333333333333,0.16930666666666666
Approval Chamberlin-Courant (CC),0.17740333333333336,0.17730666666666667,0.32365333333333335,0.2779333333333333,0.20689333333333335,0.027546666666666667,0.13628,0.0,0.0,0.0,0.0,0.027546666666666667,0.0,0.027546666666666667,0.27296,0.027546666666666667,0.0,0.22490666666666667,0.27436,0.19533333333333333,0.24204,0.13285333333333332,0.17542666666666668,0.17246666666666666,0.11056,0.18544,0.17822666666666667,0.17822666666666667,0.17864,0.20970666666666668,0.17833333333333334,0.1772,0.18389333333333333,0.17925333333333332,0.18461333333333332,0.179,0.17841333333333334,0.17882666666666666,0.17849333333333334,0.17925333333333332,0.17922666666666667,0.17832,0.17958666666666667,0.17853333333333332,0.17772,0.17832,0.17834666666666665,0.18321333333333334,0.18321333333333334,0.18089333333333332,0.18089333333333332,0.1784,0.17044,0.18468,0.17110666666666666,0.17189333333333334,0.17698666666666665,0.17830666666666667,0.15702666666666668,0.17893333333333333,0.18252,0.17901333333333333,0.2096,0.20861333333333335,0.19373333333333334,0.15381333333333333,0.16930666666666666
Lexicographic Chamberlin-Courant (lex-CC),0.17740333333333336,0.17730666666666667,0.32365333333333335,0.2779333333333333,0.20689333333333335,0.027546666666666667,0.13628,0.0,0.0,0.0,0.0,0.027546666666666667,0.0,0.027546666666666667,0.27296,0.027546666666666667,0.0,0.22490666666666667,0.27436,0.19533333333333333,0.24204,0.13285333333333332,0.17542666666666668,0.17246666666666666,0.11056,0.18544,0.17822666666666667,0.17822666666666667,0.17864,0.20970666666666668,0.17833333333333334,0.1772,0.18389333333333333,0.17925333333333332,0.18461333333333332,0.179,0.17841333333333334,0.17882666666666666,0.17849333333333334,0.17925333333333332,0.17922666666666667,0.17832,0.17958666666666667,0.17853333333333332,0.17772,0.17832,0.17834666666666665,0.18321333333333334,0.18321333333333334,0.18089333333333332,0.18089333333333332,0.1784,0.17044,0.18468,0.17110666666666666,0.17189333333333334,0.17698666666666665,0.17830666666666667,0.15702666666666668,0.17893333333333333,0.18252,0.17901333333333333,0.2096,0.20861333333333335,0.19373333333333334,0.15381333333333333,0.16930666666666666
