Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-root-0,0.0581552095264122,0.084986627280348,0.6707516666001357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002794299628757,0.0
NN-root-1,0.0514059011923368,0.0534509600415153,0.6147059997604886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001197556983753,0.0
NN-root-2,0.0499258435867752,0.0666640054289249,0.5822122869346533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001596742645004,0.0
NN-root-3,0.0581183616192198,0.0861442656979761,0.6691549239551315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002395113967506,0.0
NN-root-4,0.0413771291181374,0.017923436190172,0.519979242345615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-root-5,0.0575042298326797,0.0798371322502095,0.6675980998762524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001197556983753,0.0
NN-root-6,0.0581183616192198,0.0861442656979761,0.6691549239551315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002395113967506,0.0
NN-root-7,0.0579556166957867,0.0859845914334757,0.6671190770827512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003193485290008,0.0
NN-root-8,0.0567150704869758,0.0729312203105664,0.6642848588878687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983713225020958e-05,0.0
NN-root-9,0.048934020751513,0.0677418067143028,0.5682008702247415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001995928306255,0.0
NN-root-10,0.057860426268873,0.0835495588998443,0.6683964711987546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002395113967506,0.0
NN-root-11,0.0578788502224692,0.0848668715819727,0.6674783441778771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983713225020958e-05,0.0
NN-root-12,0.0452584420090707,0.0246297552991896,0.5636900722526047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0
NN-root-13,0.057860426268873,0.0835495588998443,0.6683964711987546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002395113967506,0.0
NN-root-14,0.0579556166957867,0.0859845914334757,0.6671190770827512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003193485290008,0.0
NN-root-15,0.0485747536563871,0.0633108458744162,0.568001277394116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001596742645004,0.0
NN-root-16,0.0578788502224692,0.0848668715819727,0.6674783441778771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983713225020958e-05,0.0
NN-root-17,0.0440424610717213,0.0203983872899285,0.5521136880763243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0
NN-root-18,0.0581183616192198,0.0861442656979761,0.6691549239551315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002395113967506,0.0
NN-root-19,0.0478961380322603,0.03620613947547,0.5863638178116642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983713225020958e-05,0.0
NN-all-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-all-8,2.1538461538461535e-05,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
